Name,Material,Purity,Diameter,Lenght,Price,Rest
CHROMIUM PIECES,Chromium,99.95% PURE,N/A,N/A,€48.00, Cr    100 GRAMS 0.8mm - 6mm Pieces 100 g 99.95% EVMCR35D
CHROMIUM PIECES,Chromium,99.95% PURE,N/A,N/A,€94.00, Cr    250 GRAMS 0.8mm - 6mm Pieces 250 g 99.95% EVMCR35J
CHROMIUM PIECES,Chromium,99.95% PURE,N/A,N/A,€282.00, Cr    1 KILOGRAM 0.8mm - 6mm Pieces 1 kg 99.95% EVMCR35KG
CHROMIUM PIECES,Chromium,99.95% PURE,N/A,N/A,€153.00, Cr    500 GRAMS 0.8mm - 6mm Pieces 500 g 99.95% EVMCR35T
CHROME PLATED TUNGSTEN ROD,Chrome Plated Tungsten,N/A,2" long,0.050" diameter rod,€47.00,  FOR Cr EVAPORATION   W/ CLEAN/FLUSH ENDS 5 1.05 78 82 1800 °C EVSCRW1
CHROME PLATED TUNGSTEN ROD,Chrome Plated Tungsten,N/A,4" long,0.050" diameter rod,€53.00,  FOR Cr EVAPORATION   W/ CLEAN/FLUSH ENDS 5 2.02 78 158 1800 °C EVSCRW2
CHROME PLATED TUNGSTEN ROD,Chrome Plated Tungsten,N/A,6" long,0.050" diameter rod,€79.00,  FOR Cr EVAPORATION   W/ CLEAN/FLUSH ENDS 5 2.40 77 158 1800 °C EVSCRW3
CHROMIUM OXIDE PIECES,Chromium Oxide,Cr2O3 99.9% PURE,N/A,N/A,P.O.R.,   1 POUND 2 mm - 6 mm Pieces 1 lb. 99.9% EVMCROX3-6MM
CHROMIUM OXIDE PIECES,Chromium Oxide,Cr2O3 99.9% PURE,N/A,N/A,P.O.R.,   25 GRAMS 2 mm - 6 mm Pieces 25 G 99.9% EVMCROX3-6MMA
CHROMIUM OXIDE PIECES,Chromium Oxide,Cr2O3 99.9% PURE,N/A,N/A,P.O.R.,   50 GRAMS 2 mm - 6 mm Pieces 50 G 99.9% EVMCROX3-6MMB
